"WeekInDayFmt","Sku","Store","Sales"
20060211,1383769,10,3
20060218,1383769,10,2
20060225,1383769,10,5
20060304,1383769,10,1
20060318,1383769,10,3
20060325,1383769,10,2
20060401,1383769,10,5
20060415,1383769,10,1
20060422,1383769,10,2
20060429,1383769,10,1
20060506,1383769,10,2
20060513,1383769,10,5
20060520,1383769,10,4
20060603,1383769,10,4
20060610,1383769,10,5
20060617,1383769,10,5
20060624,1383769,10,2
20060701,1383769,10,4
20060708,1383769,10,3
20060715,1383769,10,2
20060729,1383769,10,4
20060805,1383769,10,8
20060812,1383769,10,1
20060819,1383769,10,3
20060826,1383769,10,8
20060909,1383769,10,1
20060916,1383769,10,14
20060930,1383769,10,2
20061007,1383769,10,3
20061021,1383769,10,5
20061028,1383769,10,3
20061111,1383769,10,1
20061125,1383769,10,1
20061209,1383769,10,2
20070106,1383769,10,1
20070113,1383769,10,3
20070120,1383769,10,1
20070127,1383769,10,1
20070210,1383769,10,1
20070217,1383769,10,2
20070224,1383769,10,1
20070310,1383769,10,2
20070317,1383769,10,4
20070331,1383769,10,4
20070414,1383769,10,6
20070421,1383769,10,5
20070512,1383769,10,5
20070519,1383769,10,2
20070602,1383769,10,1
20070609,1383769,10,2
20070616,1383769,10,7
20070623,1383769,10,1
20070707,1383769,10,8
20070714,1383769,10,1
20070721,1383769,10,2
20070728,1383769,10,2
20070804,1383769,10,6
20070811,1383769,10,1
20070825,1383769,10,5
20070908,1383769,10,7
20070915,1383769,10,2
20070922,1383769,10,3
20071006,1383769,10,10
20071013,1383769,10,3
20071020,1383769,10,2
20051105,1383769,11,1
20051119,1383769,11,1
20051210,1383769,11,3
20051217,1383769,11,2
20051224,1383769,11,1
20051231,1383769,11,6
20060114,1383769,11,1
20060121,1383769,11,1
20061014,1383769,11,1
20061021,1383769,11,5
20061111,1383769,11,2
20061118,1383769,11,3
20070203,1383769,11,1
20070224,1383769,11,2
20070303,1383769,11,1
20070331,1383769,11,2
20070414,1383769,11,1
20070421,1383769,11,4
20070505,1383769,11,1
20070512,1383769,11,1
20070526,1383769,11,1
20070602,1383769,11,1
20070616,1383769,11,1
20070623,1383769,11,3
20070707,1383769,11,1
20070728,1383769,11,1
20070804,1383769,11,3
20070811,1383769,11,2
20070825,1383769,11,1
20070901,1383769,11,1
20070908,1383769,11,5
20071006,1383769,11,1
20071013,1383769,11,3
20071020,1383769,11,3
20051029,1383769,12,3
20051105,1383769,12,2
20051119,1383769,12,1
20051203,1383769,12,2
20051210,1383769,12,8
20051217,1383769,12,2
20051224,1383769,12,2
20051231,1383769,12,8
20060107,1383769,12,1
20060114,1383769,12,1
20060121,1383769,12,2
20060225,1383769,12,3
20060325,1383769,12,1
20060401,1383769,12,6
20060408,1383769,12,1
20060415,1383769,12,1
20060422,1383769,12,1
20060506,1383769,12,1
20060513,1383769,12,2
20060520,1383769,12,1
20060527,1383769,12,1
20060603,1383769,12,2
20060617,1383769,12,5
20060624,1383769,12,2
20060722,1383769,12,1
20060729,1383769,12,1
20060805,1383769,12,2
20060826,1383769,12,15
20060916,1383769,12,8
20060923,1383769,12,3
20061021,1383769,12,2
20061028,1383769,12,1
20061104,1383769,12,3
20061209,1383769,12,4
20061223,1383769,12,3
20061230,1383769,12,1
20070120,1383769,12,4
20070210,1383769,12,5
20070217,1383769,12,1
20070310,1383769,12,1
20070317,1383769,12,5
20070331,1383769,12,5
20070407,1383769,12,1
20070414,1383769,12,3
20070421,1383769,12,3
20070512,1383769,12,6
20070519,1383769,12,1
20070609,1383769,12,1
20070616,1383769,12,8
20070630,1383769,12,1
20070707,1383769,12,6
20070714,1383769,12,1
20070721,1383769,12,6
20070728,1383769,12,1
20070804,1383769,12,5
20070825,1383769,12,11
20070908,1383769,12,1
20070922,1383769,12,1
20071006,1383769,12,11
20071013,1383769,12,6
20071020,1383769,12,5
20051210,1383769,14,2
20051224,1383769,14,2
20051231,1383769,14,9
20060107,1383769,14,1
20060121,1383769,14,5
20060128,1383769,14,1
20060211,1383769,14,1
20060225,1383769,14,4
20060304,1383769,14,2
20060318,1383769,14,3
20060401,1383769,14,5
20060429,1383769,14,2
20060617,1383769,14,2
20060624,1383769,14,3
20060701,1383769,14,1
20060729,1383769,14,1
20060805,1383769,14,3
20060812,1383769,14,1
20060819,1383769,14,1
20060826,1383769,14,6
20060902,1383769,14,1
20060916,1383769,14,9
20060923,1383769,14,1
20061007,1383769,14,1
20061216,1383769,14,1
20061230,1383769,14,1
20070217,1383769,14,2
20070317,1383769,14,8
20070331,1383769,14,3
20070414,1383769,14,2
20070421,1383769,14,1
20070512,1383769,14,1
20070519,1383769,14,1
20070526,1383769,14,1
20070609,1383769,14,1
20070616,1383769,14,4
20070630,1383769,14,1
20070707,1383769,14,3
20070728,1383769,14,2
20070804,1383769,14,6
20070825,1383769,14,1
20070908,1383769,14,8
20071006,1383769,14,1
20071013,1383769,14,4
20071020,1383769,14,4
20051203,1383769,15,1
20051210,1383769,15,8
20051224,1383769,15,1
20051231,1383769,15,1
20060114,1383769,15,1
20060121,1383769,15,2
20060128,1383769,15,1
20060225,1383769,15,1
20060304,1383769,15,1
20060325,1383769,15,1
20060401,1383769,15,3
20060408,1383769,15,2
20060415,1383769,15,1
20060429,1383769,15,1
20060506,1383769,15,2
20060520,1383769,15,2
20060610,1383769,15,1
20060617,1383769,15,1
20060701,1383769,15,2
20060708,1383769,15,1
20060715,1383769,15,1
20060729,1383769,15,2
20060826,1383769,15,8
20060902,1383769,15,2
20060916,1383769,15,5
20061014,1383769,15,1
20061021,1383769,15,4
20061028,1383769,15,1
20061104,1383769,15,1
20061111,1383769,15,2
20061230,1383769,15,1
20070106,1383769,15,1
20070113,1383769,15,1
20070331,1383769,15,2
20070414,1383769,15,4
20070505,1383769,15,1
20070512,1383769,15,1
20070526,1383769,15,1
20070616,1383769,15,3
20070707,1383769,15,3
20070721,1383769,15,1
20070728,1383769,15,1
20070825,1383769,15,2
20070908,1383769,15,3
20051029,1383769,16,5
20051105,1383769,16,1
20051126,1383769,16,1
20051210,1383769,16,15
20051217,1383769,16,1
20051224,1383769,16,1
20051231,1383769,16,5
20060121,1383769,16,3
20060128,1383769,16,1
20060225,1383769,16,1
20060318,1383769,16,5
20060401,1383769,16,4
20060415,1383769,16,1
20060429,1383769,16,1
20060617,1383769,16,2
20060701,1383769,16,1
20060729,1383769,16,2
20060805,1383769,16,2
20060819,1383769,16,1
20060826,1383769,16,1
20060909,1383769,16,2
20060916,1383769,16,4
20061028,1383769,16,1
20061111,1383769,16,8
20061202,1383769,16,1
20061209,1383769,16,1
20061223,1383769,16,1
20061230,1383769,16,4
20070106,1383769,16,1
20070210,1383769,16,5
20070317,1383769,16,6
20070324,1383769,16,2
20070331,1383769,16,1
20070414,1383769,16,3
20070421,1383769,16,1
20070505,1383769,16,1
20070512,1383769,16,1
20070616,1383769,16,3
20070728,1383769,16,1
20070804,1383769,16,6
20070901,1383769,16,1
20070908,1383769,16,6
20071006,1383769,16,6
20071020,1383769,16,3
20051029,1383769,17,1
20051203,1383769,17,1
20051210,1383769,17,22
20051231,1383769,17,1
20060107,1383769,17,2
20060114,1383769,17,1
20060121,1383769,17,6
20060211,1383769,17,1
20060225,1383769,17,7
20060318,1383769,17,8
20060401,1383769,17,5
20060415,1383769,17,3
20060527,1383769,17,3
20060603,1383769,17,2
20060610,1383769,17,6
20060617,1383769,17,2
20060826,1383769,17,4
20060902,1383769,17,3
20060909,1383769,17,2
20060916,1383769,17,3
20060930,1383769,17,1
20061021,1383769,17,3
20061111,1383769,17,6
20061118,1383769,17,1
20061202,1383769,17,1
20061209,1383769,17,1
20061216,1383769,17,2
20061223,1383769,17,1
20061230,1383769,17,1
20070203,1383769,17,1
20070217,1383769,17,3
20070310,1383769,17,1
20070317,1383769,17,3
20070331,1383769,17,1
20070414,1383769,17,3
20070421,1383769,17,3
20070505,1383769,17,1
